throughput_mbps,bytes_per_packet,packet_rate,port_asymmetry,rx_throughput_mbps,utilization,jitter_mbps,burstiness,rx_tx_ratio,tx_error_rate,rx_error_rate,idle_flag,traffic_type
47.836072,1500.0,335.0608,10.0399,0.159326,0.478361,27.29249,0.770284,0.003331,0.0,0.0,0,HTTP
2.455503,241.91,1268.8157,0.0,0.0,0.024555,0.122988,0.051197,0.0,0.0,0.0,0,GAMING
2.304196,241.91,1190.6338,0.0,0.0,0.023042,0.080168,0.033374,0.0,0.0,0.0,0,GAMING
11.677479,1357.16,1075.5462,0.0,0.0,0.116775,0.575254,0.053507,0.0,0.0,0.0,0,VIDEO
74.94037,1500.0,490.8874,9.6886,0.234077,0.749404,33.553319,1.018782,0.003124,0.0,0.0,0,HTTP
0.026714,66.0,50.5955,0.0,11.150677,0.000267,0.087371,0.6607,2.0,0.0,0.0,0,HTTP
9.852568,1357.45,907.2655,0.0,0.0,0.098526,4.347284,0.666122,0.0,0.0,0.0,0,VIDEO
10.697959,1357.18,985.3129,0.0,0.0,0.10698,0.383877,0.037787,0.0,0.0,0.0,0,VIDEO
5.221019,1352.82,482.4189,0.0,0.001079,0.05221,2.260767,1.732051,0.000207,0.0,0.0,0,VIDEO
2.495989,241.91,1289.7307,0.0,0.0,0.02496,0.050667,0.020736,0.0,0.0,0.0,0,GAMING
2.275592,242.0,1175.4089,0.0,0.000158,0.022756,0.069541,0.02937,6.9e-05,0.0,0.0,0,GAMING
0.619803,241.01,321.4656,0.0,0.001092,0.006198,0.268383,1.732051,0.001762,0.0,0.0,0,GAMING
2.397464,242.0,1238.3594,0.0,0.000165,0.023975,0.057734,0.023807,6.9e-05,0.0,0.0,0,GAMING
10.528162,1357.45,969.4796,0.0,0.0,0.105282,4.31767,1.152261,0.0,0.0,0.0,0,VIDEO
2.340219,241.67,1210.4213,0.0,0.000928,0.023402,1.013251,1.73141,0.000396,0.0,0.0,0,GAMING
2.711249,242.0,1400.4383,0.0,0.000281,0.027112,0.164251,0.065978,0.000103,0.0,0.0,0,GAMING
0.049458,1442.0,4.2873,0.0,0.049726,0.000495,0.020181,0.844414,1.005409,0.0,0.0,0,ICMP
10.758486,1358.0,990.2877,0.0,0.000261,0.107585,4.380309,0.716722,2.4e-05,0.0,0.0,0,VIDEO
0.036032,1287.56,3.4981,11.1111,0.03587,0.00036,0.022338,1.018914,0.995513,0.0,0.0,0,ICMP
0.032767,1442.0,2.8404,0.0,0.033003,0.000328,0.019618,1.021384,1.007212,0.0,0.0,0,ICMP
1.726628,241.65,893.1287,0.0,0.001447,0.017266,0.311673,0.138109,0.000838,0.0,0.0,0,GAMING
71.175106,1500.0,478.2626,11.9281,0.222401,0.711751,29.221303,1.145415,0.003125,0.0,0.0,0,HTTP
11.159567,1358.0,1027.2061,0.0,0.000177,0.111596,0.860418,0.083513,1.6e-05,0.0,0.0,0,VIDEO
10.110159,1358.0,930.6111,0.0,0.000244,0.101102,1.330441,0.14027,2.4e-05,0.0,0.0,0,VIDEO
2.43538,242.0,1257.9443,0.0,0.000169,0.024354,0.073265,0.030037,6.9e-05,0.0,0.0,0,GAMING
0.114589,66.0,217.0251,0.0,50.154457,0.001146,0.08116,0.65027,2.0,0.0,0.0,0,HTTP
2.161526,242.0,1116.4905,0.0,0.000147,0.021615,0.946411,0.645533,6.8e-05,0.0,0.0,0,GAMING
0.029819,1268.25,2.939,0.0,0.0,0.000298,0.012811,1.67901,0.0,0.0,0.0,0,ICMP
0.17649,65.98,334.3498,0.0,55.265049,0.001765,0.06624,0.419341,2.0,0.0,0.0,0,HTTP
10.228837,1357.44,941.9242,0.0,0.0,0.102288,3.875572,0.486117,0.0,0.0,0.0,0,VIDEO
0.032666,1196.71,3.412,17.6471,0.032415,0.000327,0.020829,1.027672,0.992332,0.0,0.0,0,ICMP
2.64844,241.91,1368.5127,0.0,0.0,0.026484,0.127138,0.051421,0.0,0.0,0.0,0,GAMING
2.360828,242.0,1219.4358,0.0,0.000243,0.023608,0.045279,0.018801,0.000103,0.0,0.0,0,GAMING
0.023803,1228.15,2.4226,15.3846,0.023648,0.000238,0.018987,1.081115,0.993486,0.0,0.0,0,ICMP
70.812928,1500.0,458.4629,8.9202,0.220432,0.708129,27.255125,0.703231,0.003113,0.0,0.0,0,HTTP
